Bin Code;Item No.;Lot No.;Inventory;ilosc;opis
15-A;000140;BLOT100562;682;1;Kontakt zenski
15-A;000140;LOT1000792;79;1;Kontakt zenski
15-A;000140;LOT1000978;21;1;Kontakt zenski
15-A;000140;LOT1007571;200;1;Kontakt zenski
15-A;000203;BLOT100579;32;1;Kontakt meski 1.5mm2
15-A;000399;BLOT100644;52;1;Dystans metalowy
15-A;000873;BLOT100773;159;1;Faston 1.5-2.5mm bez izolacji
15-A;000924;BLOT100802;181;1;Sruba M5x50 12,9(D912129CP/050
15-A;001021;LOT1002620;21;1;Dlawnica M20x1.5
15-A;001141;BLOT100855;462;1;Sruba M4x10 imbus D912 8.8 ocy
15-A;001142;BLOT100856;377;1;Nakretka M3 D934 ocynk
15-A;001143;BLOT100857;471;1;Nakretka M4 D934 ocynk
15-A;001144;BLOT100858;352;1;Podkladka M3 140HV ocynk
15-A;001145;BLOT100859;161;1;Podkladka talerzowa 10x4,2x0,5
15-A;001262;BLOT100873;62;1;Kontakt meski 0,5mm2
15-A;001463;BLOT100897;5;1;Tuleja wew. GSB430 10,92/12,70
15-A;502056;BLOT100971;4;1;Panel Rittal 2563.010 Szary
15-A;502850;BLOT101036;259;1;Erd-Kontakt meski #12/2.5mm2
15-A;502852;BLOT101038;209;1;Erd-Kontakt zenski #12/2.5mm2
15-A;502903;LOT1003839;4;1;Wtyczka Hirschmann 101-1445
15-A;502903;LOT1006954;49;1;Wtyczka Hirschmann 101-1445
15-A;503491;BLOT101092;19;1;Sprengring CGF GR.36 SPI-57
15-A;503492;BLOT101093;121;1;Wellscheibe CGF GR.36 Edelstha
15-A;511637;BLOT101138;106;1;Erdkontakt zu CGL 18-10P
15-A;511638;BLOT101139;34;1;Kontakt zenski
15-A;561025;LOT1006029;20;1;Kontakt meski HDD-22
15-A;561025;LOT1007882;300;1;Kontakt meski HDD-22
15-A;562027;BLOT101324;610;1;Kontakt meski
15-B;000283;LOT1006625;369;1;Dystans plastikowy 1mm
15-B;000415;LOT1000922;96;1;Oprawa konektora XX_28
15-B;000415;LOT1002071;100;1;Oprawa konektora XX_28
15-B;000759;LOT1007360;100;1;Hilti Gehaeuse Schwarz
15-B;000759;LOT1007777;70;1;Hilti Gehaeuse Schwarz
15-B;001103;BLOT100841;132;1;Obudowa plastik. do D-Sub 9pol
15-B;001103;LOT1002799;100;1;Obudowa plastik. do D-Sub 9pol
15-B;001322;LOT1006800;24;1;Hilti Geh. schwarz inkl. Schli
15-B;001322;LOT1007491;4;1;Hilti Geh. schwarz inkl. Schli
15-B;001322;LOT1007696;120;1;Hilti Geh. schwarz inkl. Schli
15-B;001418;BLOT100886;546;1;Housing condenser
15-B;02855;LOT1004093;378;1;Dlawnica metalowa M20 beztl.
15-B;02855;LOT1006949;500;1;Dlawnica metalowa M20 beztl.
15-B;11315;LOT1007415;271;1;Dlawnica  metalowa M20x1.5 cz.
15-B;11315;LOT1007835;197;1;Dlawnica  metalowa M20x1.5 cz.
15-B;11315;LOT1007881;50;1;Dlawnica  metalowa M20x1.5 cz.
15-B;502862;BLOT101043;27;1;Obudowa D-Sub 37pol metalow
15-B;502891;LOT1007616;274;1;EMV-KV M40 Progress 28.5-32mm
15-B;502891;LOT1007619;160;1;EMV-KV M40 Progress 28.5-32mm
15-B;511337;LOT1007621;35;1;EMV-KV M32 Progress 18-21mm
15-B;511738;LOT1007451;112;1;Dlawnica EMV KV PG11 8.5-12mm
15-B;511738;LOT1007843;65;1;Dlawnica EMV KV PG11 8.5-12mm
15-B;561015;BLOT101306;42;1;Wtyczka meska HDP-20 37pol
15-B;561052;BLOT101310;32;1;Zestaw - Wtyczka + obudowa
15-B;563015;LOT1006787;19;1;Obudowa D-Sub 25-pol
15-B;61039;BLOT100481;1043;1;Konektor D-Sub 9-pol
15-C;000006;LOT1007127;16;1;Nakretka M40
15-C;000006;LOT1007598;10;1;Nakretka M40
15-C;000028;LOT1006472;37;1;Nakretka M20
15-C;000028;LOT1007599;25;1;Nakretka M20
15-C;000040;BLOT100525;42;1;Zlacze katowe 90� M20x1.5
15-C;000041;LOT1006468;25;1;Reduktor M25x1.5-M20x1.5
15-C;000041;LOT1007417;25;1;Reduktor M25x1.5-M20x1.5
15-C;000042;LOT1006471;21;1;Zaslepka mosiezna M25x1.5 7mm
15-C;000042;LOT1007600;25;1;Zaslepka mosiezna M25x1.5 7mm
15-C;000046;LOT1006469;15;1;Nakretka M25
15-C;000046;LOT1007287;16;1;Nakretka M25
15-C;000046;LOT1007601;10;1;Nakretka M25
15-C;000071;LOT1005509;15;1;Nakretka M32
15-C;000071;LOT1005703;20;1;Nakretka M32
15-C;000071;LOT1006418;20;1;Nakretka M32
15-C;000156;BLOT100568;83;1;Dlawnica metalowa M20x1.5
15-C;000184;BLOT100570;30;1;Dlawnica PG16
15-C;000185;BLOT100571;79;1;Dlawnica metalowa PG16 MS EMV
15-C;000294;LOT1006419;7;1;Zaslepka M32 dl.13mm
15-C;000349;BLOT100624;18;1;Zlacze katowe M40x1.5
15-C;000361;BLOT100627;19;1;AGRO 1000.20.150
15-C;000374;LOT1004097;2;1;Reduktor M40x1.5/M32x1.5
15-C;000474;LOT1006606;15;1;Zaslepka M20
15-C;000474;LOT1007602;25;1;Zaslepka M20
15-C;000476;LOT1006696;10;1;Zaslepka M40
15-C;000602;BLOT100700;3;1;Dlawnica Agro 1160.11
15-C;000624;BLOT100704;70;1;Dlawnica M16x1.5
15-C;000653;BLOT100713;22;1;Zaslepka mosiezna M16x1.5
15-C;000654;BLOT100714;45;1;Nakretka mosiezna M16x1.5
15-C;000793;LOT1000023;50;1;Dlawnica HSK-M M16x1,5 PG11
15-C;000794;LOT1000024;42;1;Redukcja M20-M16x1.5 6k
15-C;000866;BLOT100770;19;1;Dlawnica mosEMC M20x1,5 fi8-15
15-C;001022;BLOT100811;6;1;Dlawnica M16x1.5
15-C;001038;LOT1005297;7;1;Dlawnica mosiez PG11 fi5,5-8,5
15-C;001139;BLOT100853;5;1;Nakretka mosiezna M12x1.5
15-C;001148;BLOT100862;2;1;Dlawnica M20x1.5
15-C;001160;BLOT100868;103;1;Dlawnica EMV M12x1.5
15-C;001301;LOT1007450;23;1;Redukcja M25-M32
15-C;001520;BLOT100904;12;1;Dlawnica M20 na dwa przewody
15-C;001610;BLOT100933;10;1;Dlawnica mosiezna M40x1.5
15-C;02901;LOT1007145;142;1;Dlawnica metalowa PG11 MS
15-C;02901;LOT1007618;150;1;Dlawnica metalowa PG11 MS
15-C;11698;LOT1005580;30;1;Dlawnica metalowa z tuba PCV
15-C;502074;LOT1003124;16;1;Redukcja 32-25
15-C;502074;LOT1005977;20;1;Redukcja 32-25
15-C;502214;LOT1004508;50;1;Dlawnica M16x1.5 HSK-M-EMV-Ex
15-C;502436;LOT1006478;7;1;Dlawnica M25x16-19
15-C;502436;LOT1007613;25;1;Dlawnica M25x16-19
15-C;502479;LOT1006607;3;1;Dlawnica metalowa PG13
15-C;502479;LOT1007614;75;1;Dlawnica metalowa PG13
15-C;502833;LOT1005075;67;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1005978;50;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1006227;100;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1006697;50;1;Dlawnica metalowa M20x1.5 cz
15-C;502833;LOT1007612;75;1;Dlawnica metalowa M20x1.5 cz
15-C;502856;BLOT101039;271;1;Dlawnica EMV-KV PG29
15-C;502856;LOT1000189;250;1;Dlawnica EMV-KV PG29
15-C;502856;LOT1001605;275;1;Dlawnica EMV-KV PG29
15-C;502904;LOT1007292;121;1;Nakretka na dlawnice PG11
15-C;502904;LOT1007841;100;1;Nakretka na dlawnice PG11
15-C;503047;LOT1002710;6;1;Dlawnica mosiezna PG9 fi6-8mm
15-C;503435;LOT1006316;84;1;Dlawnica metalowa PG11 MS
15-C;503495;LOT1005583;47;1;Dlawnica M25 13.0-16.0mm
16-A;000324;LOT1004657;57;1;Schraubklemme 2pol
16-A;000493;BLOT100668;37;1;Wtyczka
16-A;000769;BLOT100747;4;1;FLM.1E.304.CLAC45
16-A;000820;BLOT100762;6;1;Fischer 100485 S102 A056-130+
16-A;000891;LOT1002504;2;1;Kabelst CA06PG10SL-3PB01A176
16-A;000892;LOT1002626;2;1;Kabeldose CA01PG10SL-3SB01A176
16-A;001064;LOT1000121;13;1;Zlacze Micro Match 10p
16-A;001067;BLOT100835;773;1;Tulejka izolowana 1.5/8
16-A;001069;BLOT100837;120;1;Wtyczka Mini-Fit 4pol
16-A;001129;LOT1007227;9;1;Zestaw zakonczeniowy E-20
16-A;001155;LOT1001626;18,8;1;Owijka spiralna, 1.5-10mm
16-A;001156;LOT1006271;51;1;Stecker win. FLM.0E.302.CLAC50
16-A;001620;BLOT100938;60;1;Tulejka H10/12 nieizolowana
16-A;001621;BLOT100939;60;1;Tulejka H4/12 nieizolowana
16-A;001622;BLOT100940;60;1;Tulejka H2,5/10 nieizolowana
16-A;502235;BLOT100980;21;1;Konektor zenski + 4* pin meski
16-A;502446;LOT1006848;7;1;Konektor zenski
16-A;502446;LOT1007928;26;1;Konektor zenski
16-A;502841;BLOT101028;10;1;Wtyczka Walther CEE 32/3 zolta
16-A;502910;BLOT101055;10;1;konektor D-Sub 9pol + obudowa
16-A;511613;LOT1002063;11;1;Schutzkappe zu Handsteuerung
16-A;511615;BLOT101132;6;1;Schutzkappe zu Blattmotor
16-A;561014;BLOT101305;34;1;Wtyczka meska HDP-20 25pol
16-A;561045;BLOT101309;60;1;Wtyczka DIN 41612 STV D
16-A;563050;BLOT101331;218;1;Dlawnica metalowa EMV Gr.8 UC
16-A;563074;BLOT101336;90;1;Obudowa konektora 9pol
16-A;570202;BLOT101345;4074;1;Obejma kablowa 5-7mm 0507/4
16-B;000105;BLOT100551;403;1;Kontakt zenski Micro-Fit
16-B;000768;LOT1006621;44;1;Stecker 4pol FFA.1E.304.CLAC45
16-B;000829;BLOT100768;2;1;Flansch-Stecker MILC20-41
16-B;000897;BLOT100788;7;1;Ferryt 29 x 13 x 19
16-B;001431;BLOT100892;87;1;Han 3EMV-gw-M20 mit dichtung
16-B;001433;LOT1002794;124;1;Zlacze IDC 34 pinowe
16-B;001685;LOT1007285;10;1;Z��cze 4p seria UTL
16-B;001829;LOT1004652;40;1;Kontakt m�ski 6,3x0,8 0,25-1,50mm2 izolowany
16-B;001829;LOT1004835;200;1;Kontakt m�ski 6,3x0,8 0,25-1,50mm2 izolowany
16-B;11703;LOT1004870;77;1;Przejsciowka konektor-dlawnica
16-B;16725;BLOT100455;1113;1;Tulejka 0,14x8mm szara
16-B;502444;LOT1006913;59;1;Przejsciowka kon.-dlawnica
16-B;502445;LOT1007796;2;1;Konektor meski
16-B;502470;BLOT100996;16;1;Stiftkontakt zu D38999 Stecker
16-B;502470;LOT1000464;193;1;Stiftkontakt zu D38999 Stecker
16-B;502486;LOT1007479;100;1;Endgeh�use zu CA06COM16S-1
16-B;502784;LOT1004068;20;1;SOURIAU Kabelstecker negativ.
16-B;502784;LOT1007666;50;1;SOURIAU Kabelstecker negativ.
16-B;502785;LOT1004067;39;1;SOURIAU Kabelstecker positiv
16-B;502786;LOT1004606;36;1;Schutzdeckel D38999.
16-B;502977;LOT1004019;128;1;Oprawa Konektora Gr.13
16-B;503038;LOT1000702;13;1;D38999/26KC26SN SOURIAU negat.
16-B;503038;LOT1007907;20;1;D38999/26KC26SN SOURIAU negat.
16-C;02395;LOT1002062;244;1;Koncowka do konektora LNS
16-C;02395;LOT1006164;700;1;Koncowka do konektora LNS
16-C;02395;LOT1006576;700;1;Koncowka do konektora LNS
16-C;02395;LOT1006869;447;1;Koncowka do konektora LNS
16-C;02395;LOT1007054;160;1;Koncowka do konektora LNS
16-C;502872;LOT1007701;257;1;Wtyczka Walther 230, CEE 32/5
16-C;511253;LOT1005504;67;1;Dlawnica MS EMV M32x1.5
16-C;511253;LOT1006430;28;1;Dlawnica MS EMV M32x1.5
16-C;511253;LOT1006699;175;1;Dlawnica MS EMV M32x1.5
16-C;511253;LOT1007604;540;1;Dlawnica MS EMV M32x1.5
16-C;511253;LOT1007842;160;1;Dlawnica MS EMV M32x1.5
16-C;511642;BLOT101140;394;1;Redukcja PG 36-29
17-A;000242;LOT1007350;97;1;Pierscien zaciskowy ORANGE
17-A;000242;LOT1007816;500;1;Pierscien zaciskowy ORANGE
17-A;000243;LOT1006529;92;1;Pierscien zaciskowy
17-A;000243;LOT1006530;100;1;Pierscien zaciskowy
17-A;000243;LOT1007295;100;1;Pierscien zaciskowy
17-A;000531;LOT1006101;9;1;Erdungsschelle aus Kunststoff
17-A;000531;LOT1006129;17;1;Erdungsschelle aus Kunststoff
17-A;000531;LOT1006929;183;1;Erdungsschelle aus Kunststoff
17-A;000531;LOT1006930;117;1;Erdungsschelle aus Kunststoff
17-A;511179;LOT1006299;413;1;Etykieta plastikowa (PA6)
17-A;578014;LOT1007209;143;1;Nakretka blokowa NC4-40
17-A;578014;LOT1007607;250;1;Nakretka blokowa NC4-40
17-A;578014;LOT1007848;220;1;Nakretka blokowa NC4-40
17-A;78009;LOT1007210;113;1;Sruba (+) NC4-40
17-A;78009;LOT1007606;260;1;Sruba (+) NC4-40
17-A;78009;LOT1007849;250;1;Sruba (+) NC4-40
17-B;000224;LOT1006636;615;1;Wtyczka meska na pin zenski 8
17-B;000681;LOT1007758;111;1;Wtyczka DIN-Power D032-DC-B
17-B;000762;LOT1004080;31;1;Endgeh.Gr.02
17-B;000762;LOT1005573;50;1;Endgeh.Gr.02
17-B;000762;LOT1005901;60;1;Endgeh.Gr.02
17-B;000762;LOT1007817;100;1;Endgeh.Gr.02
17-B;000764;LOT1006088;6;1;Stecker Lot 05POL
17-B;000764;LOT1007818;100;1;Stecker Lot 05POL
17-B;000764;LOT1007884;100;1;Stecker Lot 05POL
17-B;001646;LOT1007252;171;1;Ferryt 19x13x28
17-B;561054;LOT1007480;160;1;Wtyczka - zestaw
17-C;000380;LOT1007833;239;1;Obudowa + wtyczka 96pol
17-C;000424;LOT1006770;27;1;Ferryt 17.5x10.7x18
17-C;000424;LOT1007564;378;1;Ferryt 17.5x10.7x18
17-C;000646;LOT1006331;336;1;Styk kolkowy Han C 6QMM
17-C;000646;LOT1006346;50;1;Styk kolkowy Han C 6QMM
17-C;000646;LOT1007759;100;1;Styk kolkowy Han C 6QMM
17-C;000894;LOT1007641;189;1;DIN 41612 Connectors LOCKING L
17-C;000894;LOT1007763;2500;1;DIN 41612 Connectors LOCKING L
17-C;11754;LOT1007581;21687;1;Kontakt meski 1,5mm2
17-C;502824;LOT1007271;134;1;Tuleja R5-RH 10x10x7mm
17-C;502975;LOT1007267;86;1;Uchwyt oznacznika
17-C;502975;LOT1007706;50;1;Uchwyt oznacznika
17-C;570210;LOT1006439;254;1;Kaltger�t-Steckdose B30.003SW
17-D;000240;LOT1005892;565;1;Steckerbr�cke B06.025H 3-polig
17-D;001634;LOT1005543;183;1;SAI-SK M12 UNI 2029
17-D;001634;LOT1006768;140;1;SAI-SK M12 UNI 2029
17-D;001684;LOT1004400;4582;1;Kontakt damski 2,8x0,8 0,5-1,0mm2 izolowany PA
17-D;001684;LOT1006945;100;1;Kontakt damski 2,8x0,8 0,5-1,0mm2 izolowany PA
17-D;502907;LOT1007265;94;1;Zacisk przewodu ochronnego
17-D;502907;LOT1007708;50;1;Zacisk przewodu ochronnego
17-D;502908;LOT1007266;93;1;Pokrywa zamykajaca
17-D;502908;LOT1007707;50;1;Pokrywa zamykajaca
17-D;511592;LOT1006148;320;1;Tuleja R5-RH 12x15x7.3mm
17-D;511755;LOT1007591;22246;1;Kontakt zenski AWG16 1.5mm2
17-D;568050;LOT1007270;295;1;Tuleja RRH 17.5x28.5x10.7
17-D;570205;BLOT101346;6423;1;Obejma kablowa 7-9mm 0709/4
17-E;000634;LOT1007256;4621;1;Konektor 4x6 TEMPUS - NEW
17-E;000647;LOT1005868;92;1;Han 4 Mod M-c 40A
17-E;000649;LOT1006682;46;1;Han 4 Mod F-c 40A
17-E;000649;LOT1007557;202;1;Han 4 Mod F-c 40A
17-E;000649;LOT1007678;50;1;Han 4 Mod F-c 40A
17-E;001612;LOT1005546;166;1;SAIBP-M-4A-4/8-M12
17-E;001612;LOT1006767;157;1;SAIBP-M-4A-4/8-M12
17-E;001612;LOT1006854;43;1;SAIBP-M-4A-4/8-M12
17-E;001613;LOT1005545;177;1;SAISP-M-4A-4/8-M12
17-E;001613;LOT1006399;139;1;SAISP-M-4A-4/8-M12
17-E;001613;LOT1006769;30;1;SAISP-M-4A-4/8-M12
17-E;570012;LOT1006793;113;1;Zlacze zenskie
17-E;570012;LOT1006794;500;1;Zlacze zenskie
18-A;000274;LOT1005242;161;1;Koncowka widelkowa 1.5mm2 M4
18-A;000367;LOT1006765;24;1;Faston oczkowy 0.5-1.0mm2 M5
18-A;001050;LOT1007079;592;1;Tulejka HI0,75/8 izolowana bia
18-A;001106;LOT1003670;51;1;Koncowka oczkowa M4x6mm zolta
18-A;001675;LOT1004322;120;1;Uszczelka z zakresem 16-19mm
18-A;001738;LOT1004367;499;1;Tulejka izolowana HI 0,34/6 ERHL
18-A;001780;LOT1005516;1995;1;KO�C�WKA TULEJKOWA IZOLOWANA H0,34/11S TK
18-A;001780;LOT1006524;1060;1;KO�C�WKA TULEJKOWA IZOLOWANA H0,34/11S TK
18-A;502454;LOT1004448;750;1;O-Ring 12.42x1.78 NBR
18-A;502858;BLOT101041;190;1;O-Ring OR 2150 37.82x1.78mm
18-A;503016;LOT1004922;291;1;O-Ring 18.00x1.00mm NBR
18-A;511690;LOT1006778;440;1;Tulejka Gr.16-AWG20
18-A;68046;BLOT100490;137;1;Faston, zolty, 0.1-0.5mm2
18-A;68046;LOT1005718;1500;1;Faston, zolty, 0.1-0.5mm2
18-B;000648;LOT1006683;114;1;Styk tulejowy Han C 6QMM
18-B;000648;LOT1007556;850;1;Styk tulejowy Han C 6QMM
18-B;000648;LOT1007582;400;1;Styk tulejowy Han C 6QMM
18-B;000648;LOT1007677;200;1;Styk tulejowy Han C 6QMM
18-B;000765;LOT1004082;37;1;St.Dose Lot 05Pol
18-B;000765;LOT1006750;50;1;St.Dose Lot 05Pol
18-B;000765;LOT1007819;50;1;St.Dose Lot 05Pol
18-B;001803;LOT1004649;5965;1;Kontakt D 0,5-1,5mm2 srebrzony
18-B;511740;LOT1007065;523;1;Kontakt zenski HDM-20
18-B;511740;LOT1007580;200;1;Kontakt zenski HDM-20
